0.25309E-01 0.88985E-05 0.00000E+01 224988 0 0 12888 0.50940E+06 0.00000E+01 0.25309E-01 0.00000E+01 0.00000E+01 0
1 0.025306 0.00012094 0.24726 0.063212 0.025306
2 0.025223 6.7507e-05 0.19583 0.051589 0.025223
3 0.025287 3.3868e-05 0.13859 0.039556 0.025287
4 0.025351 0.00012121 0.24737 0.06366 0.025351
5 0.025259 6.5405e-05 0.18947 0.047086 0.025259
6 0.025321 3.3866e-05 0.1384 0.039512 0.025321
7 0.025269 0.00012205 0.24991 0.064054 0.025269
8 0.025363 6.0111e-05 0.17342 0.04657 0.025363
9 0.025298 3.5662e-05 0.14588 0.039024 0.025298
10 0.025208 0.00011995 0.24619 0.062086 0.025208
11 0.025409 6.1011e-05 0.17569 0.047622 0.025409
12 0.025297 3.4719e-05 0.14202 0.037647 0.025297
13 0.025323 0.00012532 0.25606 0.062951 0.025323
14 0.025307 6.5718e-05 0.19001 0.047092 0.025307
15 0.025249 3.6396e-05 0.14916 0.037311 0.025249
16 0.025247 0.00011716 0.24009 0.060988 0.025247
17 0.025295 6.7461e-05 0.19515 0.045363 0.025295
18 0.025331 3.2615e-05 0.13323 0.03627 0.025331
19 0.025294 0.00011684 0.23901 0.064307 0.025294
20 0.025398 6.2281e-05 0.17943 0.047385 0.025398
21 0.025275 3.3969e-05 0.13908 0.036001 0.025275
22 0.025226 0.00012543 0.25727 0.063935 0.025226
23 0.025266 6.8628e-05 0.19875 0.06294 0.025266
24 0.025345 3.3744e-05 0.13777 0.035672 0.025345
25 0.025303 0.00012046 0.24632 0.064128 0.025303
26 0.02532 6.1815e-05 0.17864 0.061281 0.02532
27 0.025255 3.6377e-05 0.14905 0.037607 0.025255
28 0.025499 0.00011387 0.23105 0.063734 0.025499
29 0.025379 6.1357e-05 0.1769 0.046325 0.025379
30 0.025337 3.2779e-05 0.13388 0.036956 0.025337
31 0.025381 0.00010841 0.221 0.064414 0.025381
32 0.025243 6.4574e-05 0.18718 0.0483 0.025243
33 0.025339 3.5557e-05 0.14521 0.040276 0.025339
34 0.025286 0.00011998 0.24551 0.064038 0.025286
35 0.025312 6.0561e-05 0.17507 0.047172 0.025312
36 0.025328 3.3548e-05 0.13706 0.035777 0.025328
<lo_statistics>
<cumulated_time> 11.815691000000001 </cumulated_time>
</lo_statistics>
